enrollment_id,student_id,course_id,enrollment_date
1,18,6,2024-10-16
2,2,1,2024-12-17
3,15,7,2024-12-30
4,8,5,2024-06-14
5,5,2,2025-04-01
6,3,1,2025-03-23
7,7,10,2025-05-14
8,15,2,2025-01-29
9,6,7,2025-03-10
10,1,1,2024-07-31
11,11,8,2025-05-19
12,3,5,2024-09-18
13,3,4,2024-11-17
14,2,10,2024-11-05
15,12,2,2025-01-19
16,9,6,2025-03-19
17,5,10,2024-09-14
18,20,6,2025-04-11
19,14,5,2024-06-14
20,3,1,2024-11-03
21,12,5,2024-08-09
22,7,3,2024-08-30
23,9,10,2025-02-28
24,14,3,2024-08-23
25,12,4,2024-09-04
26,18,5,2024-07-08
27,2,6,2025-01-24
28,18,4,2025-02-20
29,5,4,2025-06-01
30,5,4,2025-01-03
31,16,7,2024-07-22
32,14,1,2024-07-01
33,8,10,2024-12-15
34,3,7,2025-04-17
35,13,10,2025-03-27
36,3,8,2025-03-07
37,10,4,2024-07-26
38,5,3,2024-06-16
39,19,7,2025-03-13
40,1,4,2025-05-19
41,5,5,2024-12-24
42,7,6,2024-12-05
43,4,5,2024-12-11
44,14,9,2024-10-05
45,12,8,2024-09-06
46,1,10,2025-05-12
47,11,1,2024-10-06
48,13,9,2025-04-25
49,9,8,2024-07-22
50,17,10,2025-05-19
