progress_id,student_id,course_id,completion
1,15,5,94.11
2,1,6,92.28
3,20,8,18.07
4,17,4,75.74
5,3,3,72.55
6,8,9,29.46
7,19,10,6.01
8,1,6,36.26
9,4,10,14.31
10,12,8,85.21
11,1,4,74.31
12,17,7,45.06
13,1,8,1.98
14,16,4,62.68
15,6,6,66.77
16,2,8,94.17
17,3,5,30.44
18,4,8,0.43
19,12,4,94.52
20,15,9,92.8
21,15,2,99.56
22,6,6,90.19
23,19,2,77.5
24,19,2,20.66
25,12,8,7.25
26,20,4,85.5
27,18,10,26.76
28,4,4,97.83
29,3,2,69.94
30,12,5,43.66
31,17,3,47.94
32,15,3,41.52
33,3,1,15.31
34,9,1,1.07
35,19,7,81.32
36,1,4,75.94
37,2,7,40.76
38,3,2,26.31
39,12,3,60.21
40,5,7,27.09
41,9,2,92.48
42,1,10,39.93
43,14,5,55.48
44,19,3,88.71
45,1,7,46.45
46,8,5,24.77
47,20,8,55.6
48,15,1,73.88
49,20,5,94.3
50,17,10,32.64
