student_id,course_id,completion
S92,C103,43
S51,C107,42
S39,C109,28
S71,C102,52
S15,C108,5
S36,C103,54
S40,C108,82
S17,C106,50
S51,C110,49
S57,C109,95
S78,C101,32
S2,C104,49
S75,C105,34
S74,C102,8
S13,C108,82
S21,C107,43
S51,C109,82
S90,C102,3
S100,C103,25
S38,C110,15
S1,C108,20
S64,C108,87
S37,C105,69
S64,C106,69
S31,C102,55
S50,C108,94
S67,C109,86
S81,C105,100
S93,C107,76
S72,C101,61
S10,C106,52
S45,C101,70
S13,C102,5
S47,C103,40
S12,C101,30
S35,C106,26
S1,C110,71
S20,C109,35
S84,C105,32
S2,C104,26
S75,C102,30
S53,C109,79
S17,C105,53
S90,C103,43
S13,C106,41
S51,C104,45
S97,C108,22
S29,C109,82
S19,C110,49
S7,C103,13
S86,C102,71
S99,C109,90
S12,C109,2
S78,C104,57
S45,C110,68
S1,C101,4
S13,C106,14
S45,C104,67
S77,C108,48
S78,C101,18
S64,C104,78
S64,C102,36
S97,C101,30
S99,C106,78
S35,C102,64
S29,C101,53
S67,C107,3
S22,C109,3
S36,C102,69
S88,C101,69
S2,C110,37
S6,C110,100
S7,C104,76
S70,C108,17
S36,C109,42
S62,C106,0
S2,C109,58
S62,C110,50
S32,C104,11
S32,C107,8
S56,C108,45
S32,C108,58
S35,C102,24
S98,C107,68
S49,C108,26
S57,C109,23
S93,C108,56
S44,C109,61
S23,C107,96
S2,C102,40
S48,C103,80
S70,C101,22
S25,C101,51
S36,C108,9
S62,C110,67
S70,C105,72
S44,C110,52
S26,C104,52
S67,C102,13
S58,C104,35
S98,C105,8
S32,C110,76
S16,C109,48
S25,C108,74
S63,C108,59
S55,C102,74
S4,C102,98
S98,C102,52
S74,C108,86
S17,C108,89
S88,C109,63
S10,C105,12
S15,C105,50
S18,C104,30
S79,C110,4
S24,C108,81
S77,C110,63
S35,C105,15
S47,C103,33
S91,C101,76
S1,C104,89
S32,C107,42
S3,C109,8
S40,C110,40
S11,C102,12
S99,C107,40
S81,C107,67
S91,C110,4
S8,C107,39
S15,C105,8
S57,C106,11
S86,C106,98
S19,C106,21
S51,C103,20
S9,C103,27
S92,C104,75
S11,C110,33
S46,C104,34
S79,C109,43
S77,C103,34
S21,C110,14
S48,C108,10
S92,C104,100
S31,C108,39
S3,C102,100
S51,C107,23
S48,C107,46
S9,C108,51
S53,C108,15
S91,C104,81
S64,C109,63
S5,C101,52
S80,C110,79
S76,C102,4
S77,C107,47
S45,C105,44
S77,C104,37
S25,C109,61
S27,C104,62
S36,C101,30
S10,C101,13
S76,C107,5
S87,C107,85
S6,C110,9
S87,C108,16
S22,C101,37
S94,C101,62
S39,C109,84
S35,C102,63
S39,C102,45
S57,C109,6
S63,C102,89
S15,C110,61
S39,C105,16
S10,C106,93
S13,C107,59
S48,C104,56
S65,C104,12
S60,C105,6
S73,C103,95
S91,C110,83
S58,C101,36
S46,C109,37
S99,C109,48
S9,C108,13
S54,C110,56
S94,C110,31
S88,C103,2
S100,C105,56
S39,C101,67
S7,C109,69
S5,C108,81
S66,C102,62
S95,C107,69
S26,C102,21
S83,C106,88
S28,C108,28
S97,C107,25
S7,C105,82
S56,C105,75
